label,followers_count,friends_count,statuses_count,other_social_media_count,length_of_description,length_of_screen_name,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,St_Fo_Ratio
N,1662,1606,4469,0,0,1,2,0,0,1,0.966305656,2.688929001
N,1662,1606,4469,1,1,0,1,0,0,1,0.966305656,2.688929001
N,1295,1771,20850,1,49,0,1,0,0,1,1.367567568,16.1003861
N,2052,198,19284,1,0,1,1,0,0,1,0.096491228,9.397660819
N,92683,738,2285,0,58,25,1,0,1,1,0.007962625,0.024653928
N,5976,4017,84128,1,7,0,1,0,0,0,0.672188755,14.07764391
N,1712,227,13551,0,1,1,1,0,0,1,0.132593458,7.915303738
N,3745,1405,79450,1,89,0,2,0,0,1,0.375166889,21.21495327
N,11500,1269,42933,1,5,27,2,0,0,1,0.110347826,3.733304348
N,11719,56,12131,1,30,0,1,0,0,1,0.004778565,1.035156583
N,28557,17769,24596,0,168,4,1,1,0,1,0.622229226,0.861294954
N,3740,640,52205,0,30,14,1,0,0,1,0.171122995,13.95855615
N,42024,1120,287055,1,22,0,1,0,0,0,0.026651437,6.830739577
N,22063,702,122581,0,1,0,1,1,0,1,0.031817976,5.555953406
N,18986,531,170870,3,73,0,1,0,0,1,0.027967976,8.999789318
N,3215,7,79719,0,2,0,1,1,0,1,0.002177294,24.79595645
N,2876,461,68221,0,6,0,1,0,0,1,0.160292072,23.72079277
N,10178,248,76881,0,9,1,1,0,0,1,0.02436628,7.553645117
N,5079,5011,82911,0,3,0,7,0,0,1,0.986611538,16.32427643
