label,followers_count,friends_count,statuses_count,mentions_count,retweet_count,favorite_count,hashtag_count,url_count,verified,location,Fr_Fo_Ratio,3t_Fo_Ratio
0,119595,337,42121,0,80,43,1,0,0,1,0.002817844,0.352196998
1,7396,1195,6283,1,19,0,2,0,0,1,0.161573824,0.84951325
2,21841,701,121590,0,0,0,1,1,0,1,0.0320956,5.567052791
1,21841,701,121590,0,1,0,1,1,0,1,0.0320956,5.567052791
1,8751,2352,164226,1,45,0,1,0,0,1,0.268769284,18.76654097
1,8751,2352,164226,1,2,0,1,1,0,1,0.268769284,18.76654097
2,1711,1573,6269,1,2,0,1,1,0,1,0.919345412,3.663939217
2,21841,701,121590,0,2,0,1,1,0,1,0.0320956,5.567052791
2,9015,45,14959,0,1,0,2,1,0,1,0.004991681,1.659345535
2,1371,905,58302,3,21,0,2,1,0,1,0.660102115,42.52516411
1,1721,779,15855,1,24,0,1,1,0,1,0.452643812,9.212667054
2,5814,950,111236,1,14,0,1,1,0,0,0.163398693,19.13243894
1,2231,1897,15156,0,0,0,2,1,0,1,0.850291349,6.793366203
1,2209,1513,94323,0,1,0,2,1,0,1,0.684925306,42.6994115
1,616697,9,60943,0,2,5,1,1,1,1,1.46E-05,0.098821626
2,1497297,68,91009,0,3,6,1,1,1,1,4.54E-05,0.060782196
2,9110,566,40874,2,7,0,1,1,0,0,0.062129528,4.486717892
1,2785,2709,144021,1,25,0,1,1,0,1,0.972710952,51.71310592
2,14760,475,26996,1,7,1,1,1,0,1,0.032181572,1.82899729
2,21841,701,121590,0,1,1,1,1,0,1,0.0320956,5.567052791
1,1338924,209,206935,2,2,0,2,1,1,1,0.000156095,0.154553208
2,1592,1266,89999,1,0,0,1,1,0,0,0.795226131,56.53203518
2,1197,180,28745,1,1,0,1,1,0,1,0.15037594,24.01420217
2,1589,662,6527,1,7,0,1,1,0,1,0.416614223,4.107614852
2,611922,30,139965,0,7,2,1,1,1,0,4.90E-05,0.228730132
2,4786,100,4049,0,0,0,2,1,0,1,0.020894275,0.846009193
